id,lat,lon,element,first_year,last_year,state,name,elev
USC00042941,34.705,-118.4297,PRCP,1909,2026,CA,FAIRMONT,932.7
USC00042964,41.0081,-121.435,PRCP,1923,2025,CA,FALL RVR MILLS,1005.8
USC00043038,38.525,-120.6981,PRCP,1938,2026,CA,FIDDLETOWN DEXTER RCH,661.4
USC00043083,36.3642,-120.1561,PRCP,1942,2026,CA,FIVE POINTS 5 SSW,86.9
USC00043134,39.01,-120.8456,PRCP,1937,2025,CA,FORESTHILL RS,919
USC00043157,41.8714,-120.1575,PRCP,1867,2026,CA,FT BIDWELL,1444.4
USC00043161,39.51,-123.7564,PRCP,1895,2026,CA,FT BRAGG 5 N,37.5
USC00043182,41.6011,-122.8478,PRCP,1936,2026,CA,FT JONES RS,831.8
USC00043191,38.515,-123.2447,PRCP,1895,2026,CA,FT ROSS,34.1
USC00043261,36.9958,-119.7069,PRCP,1912,2026,CA,FRIANT GOVERNMENT CAMP,131.1
USC00043357,41.8458,-123.9669,PRCP,1948,2026,CA,GASQUET RS,118
USC00043402,34.5225,-119.6822,PRCP,1958,2026,CA,GIBRALTAR DAM #2,474.9
USC00043463,35.7269,-118.7006,PRCP,1951,2026,CA,GLENNVILLE,957.1
USC00043491,39.1503,-120.9003,PRCP,1905,2026,CA,GOLD RUN 4 SW,981.5
USC00043551,36.7375,-118.9619,PRCP,1940,2026,CA,GRANT GROVE,2005.6
USC00043573,39.2042,-121.0681,PRCP,1966,2026,CA,GRASS VALLEY #2,731.5
USC00043578,38.4306,-122.8647,PRCP,1926,2026,CA,GRATON,61
USC00043669,37.8444,-120.2258,PRCP,1948,2025,CA,GROVELAND 2,853.4
USC00043714,37.4725,-122.4433,PRCP,1939,2026,CA,HALF MOON BAY,8.2
USC00043747,36.3158,-119.6369,PRCP,1899,2026,CA,HANFORD 1 S,72.2
USC00043761,41.7961,-123.3747,PRCP,1914,2026,CA,HAPPY CAMP RS,348.1
USC00043800,39.2372,-121.2667,PRCP,1955,2026,CA,HARRY L ENGLEBRIGHT DAM,243.8
USC00043824,40.9317,-121.5433,PRCP,1921,2025,CA,HAT CREEK,919
USC00043855,33.7044,-115.6289,PRCP,1933,2026,CA,HAYFIELD PUMPING PLT,417.6
USC00043875,38.6294,-122.8664,PRCP,1893,2026,CA,HEALDSBURG,53.9
USC00043896,33.7381,-116.8939,PRCP,1917,2026,CA,HEMET,552
USC00043914,33.2372,-116.7614,PRCP,1942,2026,CA,HENSHAW DAM,823
USC00043939,37.9614,-119.7831,PRCP,1910,2026,CA,HETCH HETCHY,1179.6
USC00044025,36.8483,-121.4214,PRCP,1948,2026,CA,HOLLISTER 2,83.8
USC00044211,33.7572,-116.7067,PRCP,1943,2026,CA,IDYLLWILD FIRE DEPT,1639.8
USC00044223,32.8489,-115.5667,PRCP,1901,2026,CA,IMPERIAL,-19.5
USC00044259,33.7086,-116.2153,PRCP,1894,2026,CA,INDIO FIRE STN,-6.4
